id,RA,DEC,ebv_mw,f_f105w,e_f105w,f_f125w,e_f125w,f_f140w,e_f140w,f_f160w,e_f160w,f_f435w,e_f435w,f_f606w,e_f606w,f_f814w,e_f814w,f_f090w,e_f090w,f_f115w,e_f115w,f_f150w,e_f150w,f_f200w,e_f200w,f_f277w,e_f277w,f_f356w,e_f356w,f_f410m,e_f410m,f_f444w,e_f444w,tot_cor,kron_radius,kron_radius_circ,use_circle,flag_kron,iso_area,use_aper,a_image,b_image,theta_J2000,flux_radius,z_spec,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,mass,restU,restU_err,restV,restV_err,restJ,restJ_err,restus,restus_err,restgs,restgs_err,restis,restis_err,star_min_chi2,excess,flag,beta,beta_dark,RE,RE_ERR,N,N_ERR,Q,Q_ERR,PA,PA_ERR,lmass
39504,150.1318797,2.403203458,0.014524978,nan,nan,67.58265093,4.523937772,109.478482,8.813068355,138.008857,4.434438237,2.95179303,1.775749828,14.41793901,3.141070873,24.25074329,3.220404513,18.73874564,5.797328748,44.25238956,6.076314312,118.5925339,7.177469071,319.8597616,8.32140525,694.6577332,5.179353102,1157.36282,6.627418218,1440.041928,11.14823802,1574.227405,7.214063306,1.09713773,nan,nan,1,1,13.8384,1.4,53.08127213,24.0502243,-0.243001282,3.67009354,nan,2.6843216,6.9138713,2.0697732,2.610579,2.7610273,3.0042849,3.1276052,1.97E+11,45.699192,3.6038303,228.59442,15.709686,1390.9154,112.724304,15.787359,1.2960696,106.28883,10.7199135,532.93176,63.3425,203.55223,9.183673469,0,0.337,-99,6.5254,0.4184,0.4261,0.0915,0.7072,0.0458,86.4043,7.6482,11.23805429
40266,150.1126063,2.40667723,0.014674512,nan,nan,2.454382151,3.302713617,12.24261669,6.745242873,5.815834987,3.023601291,5.679436089,2.843846047,-5.75830486,2.310340169,1.242187741,1.953156838,2.503538708,3.350269851,2.359088067,3.254029149,7.674273035,3.599762296,21.119614,3.374304893,69.79790741,1.435785934,123.8962454,1.483094374,202.7534729,3.372446425,249.8822841,2.196781223,1.843870545,3.426860734,0.8029891,0,0,1.2112,0.7,7.418636799,4.625751495,0.446188748,0.302344647,nan,3.498122,13.008811,2.6247232,3.2279806,3.4824169,4.281136,5.1498227,89868202217,9.072802,2.263226,44.099438,5.430685,417.592,136.29445,3.5957088,1.4423287,21.596376,5.6549144,109.737206,5.323723,120.480576,-2.52173913,0,1.273,-99,236.2603,197.9157,4.4521,1.1473,0.5463,0.0503,-59.4438,4.7353,10.39148885
40429,150.1734915,2.406577782,0.014559321,103.4983814,5.056235778,120.0181583,6.405241368,nan,nan,168.9277372,6.211530397,23.42053798,3.989191268,69.3613791,6.196697566,98.34250462,5.483601078,102.2555518,8.735649551,120.5440124,9.382970793,168.8978445,8.67915861,261.2192815,8.840151972,292.3768613,4.882091502,303.144694,4.795165609,345.8976054,6.941060236,362.2105912,4.511716737,1.461162629,2.621382213,1.059260469,0,0,2.8352,1.4,12.34837723,8.264469147,-0.984099805,0.828329312,nan,3.1437094,7.7187576,2.9367397,3.0737717,3.1602538,3.2525935,3.337848,47676236339,175.10495,6.706703,271.94327,20.81617,416.67233,97.765564,125.88241,4.736763,187.5383,32.58973,293.70966,74.48187,308.2314,3.826086957,0,-1.15,-99,5.9553,0.0617,1.2242,0.0152,0.7475,0.0055,0.9568,1.0044,10.68609376
40800,150.1082756,2.408404363,0.014713773,nan,nan,22.73552061,2.127855092,18.65194201,4.334252426,30.63504272,1.950146821,0.206341923,1.872100426,8.85862223,1.466455294,15.08138625,1.242429671,14.23017857,2.22178853,23.27278338,2.151512849,30.34086971,2.342555449,62.48839485,2.260837646,90.64455927,1.06729774,100.8462078,1.016290933,125.0314845,2.109782022,135.4776774,1.353312033,1.189901063,nan,nan,1,1,0.688,0.7,6.004853249,5.110043049,-1.063738227,0.470329726,nan,3.3131683,4.9786286,3.0269601,3.1851006,3.3447304,3.4942157,3.6564944,23440457943,31.958591,2.208724,66.55591,11.707821,162.88045,62.35161,22.451614,1.331316,45.73556,17.482357,91.99,9.086498,162.77376,6.338028169,0,-0.89,-99,6.4329,0.073,0.2,0.0174,0.8685,0.0117,56.9153,4.9306,9.8474344
41321,150.1549577,2.410230557,0.014446557,nan,nan,122.9461497,5.00304266,147.5553869,9.871416556,199.7838804,5.017141336,33.22480472,3.217245928,53.70243067,3.956924639,70.53052862,4.177169637,67.8505057,6.31056907,97.84976652,6.647248099,197.0595606,6.664702368,273.4366746,6.739491988,320.4326859,4.000024476,401.4378919,4.247852907,432.8808785,5.818924081,464.0850229,3.833656086,1.105088313,2.705620068,0.722238896,0,0,2.1808,1.4,7.23446846,6.156041145,-0.962862909,0.224306383,nan,2.646661,4.0157747,2.3139458,2.5124693,2.6082447,2.6663969,2.7057426,49804086367,152.35188,7.71402,276.81232,24.909515,503.5537,43.569443,100.04183,8.059944,227.43834,12.980797,336.93686,29.040619,438.8136,12.42937853,1,-0.878,-0.999,2.3993,0.0303,3.4823,0.0696,0.717,0.0067,64.1119,0.8782,10.82065661
41678,150.1587977,2.410906156,0.014435227,nan,nan,146.572322,5.429553356,nan,nan,256.3058889,5.041110853,25.11443782,3.320859395,63.00366405,3.774832155,80.13336166,4.077161859,93.11679215,5.914713588,123.137462,6.108508194,257.4209038,5.894048155,354.6548735,5.819286014,512.9853607,4.014895801,686.9263674,4.593081591,816.966229,7.363088054,902.0469891,4.582250034,1.241376069,2.639680535,1.060320866,0,0,4.8512,1.4,12.14097309,8.306123734,-0.539097548,2.61788977,nan,2.6891797,4.765596,2.523577,2.630774,2.6956255,2.7619073,2.85248,1.94E+11,163.69977,11.20797,325.79602,29.14566,1079.3994,79.75775,109.155594,4.6669006,254.87862,17.788658,487.00406,122.85524,451.5283,16.44295302,1,-0.235,0.433,7.1598,0.0531,0.7358,0.0116,0.5379,0.003,33.9651,0.4128,11.25194414
41760,150.0969067,2.411790841,0.01481206,nan,nan,39.35514812,4.69223967,75.91078373,8.796529947,115.2067773,4.700726001,7.003672608,4.245503505,8.441842987,2.819567512,16.12007297,2.948113666,37.54313973,12.88103947,65.8869753,12.98735465,140.4363702,12.55186353,225.9425301,12.96546557,340.5428116,7.771202401,496.6880351,8.868211351,583.5648793,13.19899831,630.1773255,8.100917716,1.137944571,2.727619644,0.734834749,0,0,1.7872,1.4,7.414927959,6.117652893,1.125513792,0.225648998,nan,2.7104688,17.801615,2.4785557,2.594776,2.7201176,2.8378108,2.9222398,72088239016,45.918293,3.2563553,219.49057,22.539108,717.6093,120.26672,17.653633,3.7431102,135.1579,9.932072,341.26892,85.97462,59.35307,3.603603604,0,-0.409,-99,6.9931,0.526,8,0.3559,0.4974,0.0098,-45.3001,0.741,11.07498065
43508,150.1205919,2.418091441,0.014664328,nan,nan,3.302459099,2.74444382,5.318905448,5.666090156,0.885371825,2.47137498,-4.480024312,2.30644283,2.139737766,1.708640745,-0.230461871,1.592454171,-5.735721352,2.383978752,-6.701895006,2.278865733,-1.194582497,2.838198934,18.82771435,2.619700942,73.40099819,1.12179434,126.7115521,1.315378213,221.3444426,3.264906262,268.9642909,2.0994876,1.547045755,3.349088585,0.680053354,0,0,0.9648,0.7,5.470648766,4.710574627,-0.700746238,0.249924706,nan,3.4971378,26.955776,3.2022123,3.281111,3.429449,3.505511,3.6494222,41804576328,3.2698557,1.0983323,48.32161,3.2230396,514.90497,24.562195,0.3451956,0.43938604,19.635548,2.9021406,111.323044,5.898964,218.46411,0,0,1.527,-99,4.5984,0.3573,0.7746,0.1306,0.6508,0.0445,-57.8638,6.5719,11.10089481
44342,150.1639543,2.420885001,0.01466152,nan,nan,78.71227094,4.720867288,nan,nan,120.4029359,4.607414981,9.865326223,2.952188003,27.25766553,3.371030196,37.83390939,3.784421005,48.01948399,8.029088095,77.75025537,8.350841097,125.7599376,8.322846529,179.5610329,8.213179854,256.652725,4.934532462,394.1020227,5.643678802,445.4428114,8.135834535,508.5335235,5.218038274,1.131026382,2.803156907,0.781455446,0,0,2.008,1.4,8.062353134,6.024650097,-0.373427212,0.272112891,nan,2.5912712,4.592582,1.9605241,2.2882545,2.5133092,2.6116898,2.6634061,72184088203,73.6133,4.751671,147.08899,8.46331,571.40656,33.642487,38.13407,3.2620983,102.01339,4.676796,243.20372,14.928223,171.72502,13.63636364,1,-0.706,-0.0778,9.9619,0.1689,0.4961,0.0244,0.454,0.0071,75.2008,0.8124,10.4807312
44689,150.1560508,2.422033177,0.01466141,nan,nan,34.94038085,4.588325414,38.22680804,8.488027265,65.4522573,4.222427801,nan,nan,7.343429025,3.472153959,10.51925861,3.682637931,10.7709944,5.637063141,18.36632263,5.840434689,66.97613318,5.625045824,127.3603827,5.630632251,208.0773497,3.780625671,314.3980068,4.23211586,351.1116765,6.14551767,383.8408637,4.021992109,1.113433501,2.831493266,0.712756563,0,0,1.7152,1.4,6.922738075,5.720757008,-0.095217973,0.923413824,nan,2.591073,5.294755,1.7929692,2.1511848,2.449966,2.6333077,2.7325435,38599379582,32.247776,2.619752,121.362915,7.0060844,422.61975,36.925278,12.775734,1.9120798,74.33434,5.6707497,210.0179,10.622398,41.708664,2.427184466,0,-0.179,-99,6.6314,0.1943,1.1608,0.0426,0.7988,0.0164,74.8629,3.7799,10.59601028
